tiempo,dato1a.n_seg,dato1b.n_seg,dato1c.n_seg,dato2a.n_seg,dato2b.n_seg,dato2c.n_seg,dato3a.n_seg,dato3b.n_seg,dato3c.n_seg,dato4a.n_seg,dato4b.n_seg,dato4c.n_seg,dato5a.n_seg,dato5b.n_seg,dato5c.n_seg,dato6a.n_seg,dato6b.n_seg,dato6c.n_seg,dato7a.n_seg,dato7b.n_seg,dato7c.n_seg,dato8a.n_seg,dato8b.n_seg,dato8c.n_seg,dato9a.n_seg,dato9b.n_seg,dato9c.n_seg,dato10a.n_seg,dato10b.n_seg,dato10c.n_seg,dato11a.n_seg,dato11b.n_seg,dato11c.n_seg,dato12a.n_seg,dato12b.n_seg,dato12c.n_seg,dato13a.n_seg,dato13b.n_seg,dato13c.n_seg,dato14a.n_seg,dato14b.n_seg,dato14c.n_seg,dato15a.n_seg,dato15b.n_seg,dato15c.n_seg,dato16a.n_seg,dato16b.n_seg,dato16c.n_seg,dato17a.n_seg,dato17b.n_seg,dato17c.n_seg,dato18a.n_seg,dato18b.n_seg,dato18c.n_seg,dato19a.n_seg,dato19b.n_seg,dato19c.n_seg,dato20a.n_seg,dato20b.n_seg,dato20c.n_seg,mean
1,0,0,0,0,0,0,0,1,2,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.2
2,0,0,0,0,0,0,0,1,1,0,0,1,0,2,1,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,2,0,2,1,0,0,1,0,1,0,0,0,0,2,1,0,0,0.416666667
3,0,0,0,0,0,0,0,0,1,1,0,1,1,0,2,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0.35
4,1,0,0,1,0,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0.666666667
5,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,2,1,0,1,1,1,1,2,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,2,1,0,2,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0.666666667
6,1,0,0,0,1,1,2,0,1,2,2,0,0,1,1,1,1,1,0,2,1,1,2,1,0,2,0,1,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,2,0,1,1,0,1,0,0,1,1,0.833333333
7,1,1,1,0,1,1,1,1,2,0,2,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,2,1,2,0,1,2,0,2,0,1,1,1,1,1,1,1,1,0,1,2,0,0,0,0,1,0,2,1,1,0,0.866666667
8,0,0,0,2,1,0,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,2,1,1,1,2,2,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0.933333333
9,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,3,1,1,1,1,2,1,2,1,1,0,0,1,1,0,1,2,1,0,2,1,1,2,1,1,1,2,0,2,1,0,0,1,0,1,0,1,1,0.866666667
10,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,2,0,1,1,1,2,1,1,2,0,1,1,1,0,1,1,2,1,3,2,0,0,0,2,0,0,2,0,1,1,0,1,1,2,1,1,1,0,1,1,1,2,0,0,0.85
11,2,0,0,0,0,0,1,0,0,2,2,0,1,1,1,2,1,1,1,0,0,1,1,1,1,2,0,2,2,1,1,2,2,1,1,2,2,0,0,1,2,0,0,2,0,1,1,0,1,0,1,2,1,1,0,1,1,1,1,1,0.916666667
12,1,1,0,0,0,1,1,2,1,1,1,0,1,0,2,0,1,1,1,0,0,1,0,1,1,1,2,1,3,1,3,1,1,1,1,0,1,0,2,3,0,3,0,0,2,1,2,1,0,0,1,2,1,0,2,1,1,0,1,1,0.966666667
13,1,2,0,0,0,0,1,0,1,1,0,1,1,1,1,1,2,2,2,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,2,0,1,2,1,1,0,2,0,0,2,1,0,0,1,0.766666667
14,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,2,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,2,1,0,1,1,0,1,1,0,1,1,0.616666667
15,0,0,0,0,0,1,1,2,0,1,1,0,0,2,1,0,1,1,0,2,0,1,1,0,0,0,0,0,2,0,0,1,1,1,0,2,1,2,1,2,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0.716666667
16,0,1,0,1,0,0,0,0,2,2,1,0,0,0,1,0,2,1,2,1,1,0,2,0,2,1,2,0,0,0,2,1,1,0,1,0,1,1,0,2,2,2,0,2,0,1,2,0,0,1,0,0,1,0,0,1,1,1,0,1,0.766666667
17,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,2,2,1,0,0,0,1,1,0,1,1,1,2,0,1,0,0,2,0,0,0,0.566666667
18,0,0,0,0,1,2,1,1,1,1,1,1,1,1,1,0,2,2,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.583333333
19,0,1,1,0,0,1,1,0,1,3,3,0,2,0,1,1,1,1,1,1,0,2,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,2,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0.7
20,1,0,0,0,0,0,2,1,2,1,2,1,1,2,2,1,1,1,1,2,0,0,0,1,1,2,1,1,1,0,0,0,1,1,1,2,1,0,1,2,2,2,0,1,0,1,0,0,0,2,1,1,0,1,0,0,0,1,1,0,0.833333333
21,0,1,0,0,1,3,0,0,0,0,1,2,2,1,1,1,0,2,3,1,1,0,1,1,0,1,2,1,1,1,2,1,0,0,0,1,2,1,1,1,2,1,1,1,2,0,0,0,2,0,0,2,0,1,2,1,0,0,1,0,0.883333333
22,1,0,1,1,1,0,1,0,2,2,1,0,1,1,0,0,2,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,2,1,1,1,2,0,1,1,1,0,0,1,0,0,2,1,0,0,1,1,1,3,1,2,2,0,0,0.85
23,0,0,0,1,1,0,1,0,0,1,2,1,1,0,3,1,1,1,1,1,1,0,1,0,1,1,0,1,3,0,0,0,1,0,1,1,0,1,0,1,1,2,0,1,0,1,0,0,0,0,1,1,0,2,1,1,1,0,1,0,0.7
24,0,2,0,1,2,0,0,1,1,3,1,1,2,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,3,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,2,2,1,1,0,1,0,0.766666667
25,0,2,2,1,1,0,1,0,0,0,0,0,2,1,1,2,1,1,0,0,1,1,1,2,0,0,1,1,0,0,0,2,0,1,0,1,1,1,1,2,1,1,1,1,0,1,1,1,0,0,2,2,1,2,2,1,1,1,2,0,0.866666667
26,0,0,1,0,0,0,1,1,1,1,0,2,2,0,1,2,1,1,0,1,0,1,1,0,0,1,2,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,2,0,1,1,1,2,0,1,0,1,1,2,0,2,1,0.716666667
27,1,1,0,2,0,0,1,0,1,1,1,1,2,0,2,1,1,1,0,2,0,1,1,1,2,0,1,1,0,1,1,1,1,2,1,1,1,2,1,0,1,0,2,0,0,0,2,1,1,0,1,0,1,0,1,2,2,0,1,0,0.866666667
28,0,0,0,1,0,0,2,1,0,1,2,1,1,1,1,2,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,2,1,1,1,0,1,2,0,1,0,1,2,1,1,2,2,1,1,1,2,0,0.783333333
29,0,1,1,1,0,0,2,2,0,1,0,1,1,0,1,2,0,0,2,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,2,1,0,1,1,0,0.733333333
30,1,0,0,1,1,0,2,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0.55
31,0,1,1,0,0,0,1,1,1,2,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,2,1,0,1,1,1,0,1,1,1,0,2,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,2,2,1,0.6
